"","state","fips","date","cases","deaths","daily_cases","daily_cases_avg","daily_deaths","daily_deaths_avg","daily_cases_avg_per","daily_deaths_avg_per","weekly_cases_per100k","weekly_deaths_per100k"
"2317","Nevada","32",2020-04-05,1880,46,122,137.142857142857,0,4.42857142857143,4.45246465253244e-05,1.43777504404693e-06,31.1672525677271,1.00644253083285
"2318","Nevada","32",2020-04-06,1971,58,91,132.428571428571,12,5.71428571428571,4.29941118010164e-05,1.85519360522185e-06,30.0958782607115,1.2986355236553
"2319","Nevada","32",2020-04-07,2101,60,130,141.142857142857,2,4.85714285714286,4.58232820489797e-05,1.57691456443857e-06,32.0762974342858,1.103840195107
"2320","Nevada","32",2020-04-08,2318,80,217,148.428571428571,20,6.85714285714286,4.81886538956376e-05,2.22623232626622e-06,33.7320577269463,1.55836262838635
"2321","Nevada","32",2020-04-09,2456,82,138,142.571428571429,2,6.28571428571429,4.62870804502852e-05,2.04071296574404e-06,32.4009563151996,1.42849907602082
"2322","Nevada","32",2020-04-10,2606,86,150,151,4,6.14285714285714,4.90234910179874e-05,1.99433312561349e-06,34.3164437125912,1.39603318792944
"2323","Nevada","32",2020-04-11,2720,111,114,137.428571428571,25,9.28571428571429,4.46174062055855e-05,3.01468960848551e-06,31.2321843439099,2.11028272593986
"2324","Nevada","32",2020-04-12,2860,113,140,140,2,9.57142857142857,4.54522433279353e-05,3.1074492887466e-06,31.8165703295547,2.17521450212262
"2325","Nevada","32",2020-04-13,3036,114,176,152.142857142857,1,8,4.93945297390318e-05,2.59727104731059e-06,34.5761708173222,1.81808973311741
"2326","Nevada","32",2020-04-14,3137,130,101,148,16,10,4.80495143752459e-05,3.24658880913824e-06,33.6346600626721,2.27261216639677
"2327","Nevada","32",2020-04-15,3212,137,75,127.714285714286,7,8.14285714285714,4.14635770767084e-05,2.64365088744114e-06,29.0245039536959,1.8505556212088
"2328","Nevada","32",2020-04-16,3321,142,109,123.571428571429,5,8.57142857142857,4.01185617129225e-05,2.78279040783278e-06,28.0829931990458,1.94795328548294
"2329","Nevada","32",2020-04-17,3524,151,203,131.142857142857,9,9.28571428571429,4.25766932398415e-05,3.01468960848551e-06,29.803685267889,2.11028272593986
"2330","Nevada","32",2020-04-18,3626,155,102,129.428571428571,4,6.28571428571429,4.20201351582749e-05,2.04071296574404e-06,29.4140946107924,1.42849907602082
"2331","Nevada","32",2020-04-19,3710,158,84,121.428571428571,3,6.42857142857143,3.94228641109643e-05,2.08709280587458e-06,27.596004877675,1.46096496411221
"2332","Nevada","32",2020-04-20,3830,163,120,113.428571428571,5,7,3.68255930636537e-05,2.27261216639677e-06,25.7779151445576,1.59082851647774
"2333","Nevada","32",2020-04-21,3937,163,107,114.285714285714,0,4.71428571428571,3.7103872104437e-05,1.53053472430803e-06,25.9727104731059,1.07137430701562
"2334","Nevada","32",2020-04-22,4081,187,144,124.142857142857,24,7.14285714285714,4.03040810734447e-05,2.31899200652731e-06,28.2128567514113,1.62329440456912
"2335","Nevada","32",2020-04-23,4208,195,127,126.714285714286,8,7.57142857142857,4.11389181957945e-05,2.45813152691895e-06,28.7972427370562,1.72069206884327
"2336","Nevada","32",2020-04-24,4398,203,190,124.857142857143,8,7.42857142857143,4.05359802740974e-05,2.41175168678841e-06,28.3751861918682,1.68822618075188
"2337","Nevada","32",2020-04-25,4539,206,141,130.428571428571,3,7.28571428571429,4.23447940391887e-05,2.36537184665786e-06,29.6413558274321,1.6557602926605
"2338","Nevada","32",2020-04-26,4638,206,99,132.571428571429,0,6.85714285714286,4.30404916411469e-05,2.22623232626622e-06,30.1283441488029,1.55836262838635
"2339","Nevada","32",2020-04-27,4708,219,70,125.428571428571,13,8,4.07214996346196e-05,2.59727104731059e-06,28.5050497442337,1.81808973311741
"2340","Nevada","32",2020-04-28,4812,225,104,125,6,8.85714285714286,4.0582360114228e-05,2.87555008809387e-06,28.4076520799596,2.01288506166571
"2341","Nevada","32",2020-04-29,4934,237,122,121.857142857143,12,7.14285714285714,3.9562003631356e-05,2.31899200652731e-06,27.6934025419492,1.62329440456912
"2342","Nevada","32",2020-04-30,5053,243,119,120.714285714286,6,6.85714285714286,3.91909649103116e-05,2.22623232626622e-06,27.4336754372181,1.55836262838635
"2343","Nevada","32",2020-05-01,5249,254,196,121.571428571429,11,7.28571428571429,3.94692439510949e-05,2.36537184665786e-06,27.6284707657664,1.6557602926605
"2344","Nevada","32",2020-05-02,5390,257,141,121.571428571429,3,7.28571428571429,3.94692439510949e-05,2.36537184665786e-06,27.6284707657664,1.6557602926605
"2345","Nevada","32",2020-05-03,5473,262,83,119.285714285714,5,8,3.87271665090061e-05,2.59727104731059e-06,27.1090165563043,1.81808973311741
"2346","Nevada","32",2020-05-04,5627,266,154,131.285714285714,4,6.71428571428571,4.2623073079972e-05,2.17985248613567e-06,29.8361511559804,1.52589674029497
"2347","Nevada","32",2020-05-05,5665,276,38,121.857142857143,10,7.28571428571429,3.9562003631356e-05,2.36537184665786e-06,27.6934025419492,1.6557602926605
"2348","Nevada","32",2020-05-06,5744,286,79,115.714285714286,10,7,3.75676705057425e-05,2.27261216639677e-06,26.2973693540197,1.59082851647774
"2349","Nevada","32",2020-05-07,5858,293,114,115,7,7.14285714285714,3.73357713050897e-05,2.31899200652731e-06,26.1350399135628,1.62329440456912
"2350","Nevada","32",2020-05-08,5942,301,84,99,8,6.71428571428571,3.21412292104686e-05,2.17985248613567e-06,22.498860447328,1.52589674029497
"2351","Nevada","32",2020-05-09,6046,306,104,93.7142857142857,5,7,3.04251751256383e-05,2.27261216639677e-06,21.2976225879468,1.59082851647774
"2352","Nevada","32",2020-05-10,6120,306,74,92.4285714285714,0,6.28571428571429,3.00077565644634e-05,2.04071296574404e-06,21.0054295951244,1.42849907602082
"2353","Nevada","32",2020-05-11,6152,312,32,75,6,6.57142857142857,2.43494160685368e-05,2.13347264600513e-06,17.0445912479758,1.49343085220359
"2354","Nevada","32",2020-05-12,6311,321,159,92.2857142857143,9,6.42857142857143,2.99613767243329e-05,2.08709280587458e-06,20.972963707033,1.46096496411221
"2355","Nevada","32",2020-05-13,6482,331,171,105.428571428571,10,6.42857142857143,3.42283220163431e-05,2.08709280587458e-06,23.9598254114402,1.46096496411221
"2356","Nevada","32",2020-05-14,6604,339,122,106.571428571429,8,6.57142857142857,3.45993607373875e-05,2.13347264600513e-06,24.2195525161713,1.49343085220359
"2357","Nevada","32",2020-05-15,6733,345,129,113,6,6.28571428571429,3.66864535432621e-05,2.04071296574404e-06,25.6805174802835,1.42849907602082
"2358","Nevada","32",2020-05-16,6810,349,77,109.142857142857,4,6.14285714285714,3.54341978597373e-05,1.99433312561349e-06,24.8039385018161,1.39603318792944
